"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","k1_r1","10000","100000","1","-1144134.7","-1143900.7","467.9","0.0030"
"3","k2_r1","10000","100000","2","-1138699.8","-1137640.5","2118.6","0.5122"
"4","k3_r1","10000","100000","3","-1132514.0","-1130848.9","3330.1","0.3878"
"5","k4_r1","10000","100000","4","-1129568.3","-1126999.2","5138.1","0.2314"
"6","k5_r1","10000","100000","5","-1126831.5","-1123725.3","6212.4","0.2343"
"7","k6_r1","10000","100000","6","-1124766.0","-1121382.5","6767.1","0.2317"
"8","k7_r1","10000","100000","7","-1127338.9","-1119364.4","15949.0","0.2192"
"9","k8_r1","10000","100000","8","-1123317.5","-1117655.3","11324.5","0.1935"
"10","k9_r1","10000","100000","9","-1121664.0","-1116282.2","10763.7","0.2071"
"11","k10_r1","10000","100000","10","-1176603.8","-1115320.2","122567.2","0.2347"
"12","k1_r2","10000","100000","1","-1144136.3","-1143900.8","471.1","0.0015"
"13","k2_r2","10000","100000","2","-1138343.5","-1137271.3","2144.3","0.7521"
"14","k3_r2","10000","100000","3","-1132478.2","-1130843.2","3270.0","0.3882"
"15","k4_r2","10000","100000","4","-1129570.0","-1126994.6","5150.8","0.2312"
"16","k5_r2","10000","100000","5","-1127002.3","-1123730.9","6542.6","0.2332"
"17","k6_r2","10000","100000","6","-1125167.1","-1121325.1","7684.0","0.2275"
"18","k7_r2","10000","100000","7","-1145207.9","-1119681.7","51052.6","0.2044"
"19","k8_r2","10000","100000","8","-1122444.0","-1117655.7","9576.7","0.1925"
"20","k9_r2","10000","100000","9","-1123727.8","-1116279.6","14896.5","0.2065"
"21","k10_r2","10000","100000","10","-1309040.9","-1115242.7","387596.4","0.2446"
"22","k1_r3","10000","100000","1","-1144136.9","-1143900.7","472.4","0.0022"
"23","k2_r3","10000","100000","2","-1138654.9","-1137642.1","2025.7","0.5064"
"24","k3_r3","10000","100000","3","-1132564.9","-1130847.8","3434.1","0.3901"
"25","k4_r3","10000","100000","4","-1129490.7","-1126994.9","4991.7","0.2310"
"26","k5_r3","10000","100000","5","-1126550.2","-1123713.7","5673.2","0.2342"
"27","k6_r3","10000","100000","6","-1125409.8","-1121370.6","8078.4","0.2311"
"28","k7_r3","10000","100000","7","-1125923.1","-1119842.2","12161.9","0.1933"
"29","k8_r3","10000","100000","8","-1151863.7","-1117815.8","68095.6","0.1920"
"30","k9_r3","10000","100000","9","-1199390.6","-1116898.9","164983.4","0.2590"
"31","k10_r3","10000","100000","10","-1126467.9","-1114840.1","23255.7","0.2304"
